,article_title,country,lastrevid,article_quality,population,Region
140,Ferhat Bey Draga,Albania,1101927317.0,C,2.8,SOUTHERN EUROPE
141,Nexhip Draga,Albania,1092914547.0,GA,2.8,SOUTHERN EUROPE
142,Aqif Pasha Elbasani,Albania,1114425909.0,B,2.8,SOUTHERN EUROPE
143,Abas Ermenji,Albania,1073827690.0,Start,2.8,SOUTHERN EUROPE
144,Bajram Fevziu,Albania,1089008480.0,Start,2.8,SOUTHERN EUROPE
145,Qamil Musa Haxhi Feza,Albania,1015553118.0,Stub,2.8,SOUTHERN EUROPE
146,Themistokli Gërmenji,Albania,1099714241.0,C,2.8,SOUTHERN EUROPE
147,Sabri Godo,Albania,1105835401.0,C,2.8,SOUTHERN EUROPE
148,Mihal Grameno,Albania,1095879069.0,C,2.8,SOUTHERN EUROPE
149,Aćif Hadžiahmetović,Albania,1104696112.0,GA,2.8,SOUTHERN EUROPE
150,Albulena Haxhiu,Albania,1095286065.0,Stub,2.8,SOUTHERN EUROPE
151,High Council of Regency,Albania,1107096289.0,C,2.8,SOUTHERN EUROPE
152,Spiridon Kacarosi,Albania,993288548.0,Stub,2.8,SOUTHERN EUROPE
153,Kurt Agë Kadiu,Albania,998414015.0,Stub,2.8,SOUTHERN EUROPE
154,Mehmed Kalakula,Albania,979382854.0,Stub,2.8,SOUTHERN EUROPE
155,Alfred Karamuço,Albania,1098236555.0,Stub,2.8,SOUTHERN EUROPE
156,Ibrahim Karbunara,Albania,1053849574.0,Start,2.8,SOUTHERN EUROPE
157,Ali Këlcyra,Albania,1069956844.0,C,2.8,SOUTHERN EUROPE
158,Belind Këlliçi,Albania,1114971095.0,C,2.8,SOUTHERN EUROPE
159,Bajram Kelmendi,Albania,1098232331.0,Start,2.8,SOUTHERN EUROPE
160,Kristo Kirka,Albania,1071577370.0,C,2.8,SOUTHERN EUROPE
161,Elez Koçi,Albania,919356105.0,Start,2.8,SOUTHERN EUROPE
162,Ali Riza Kolonja,Albania,1095185542.0,Start,2.8,SOUTHERN EUROPE
163,Glauk Konjufca,Albania,1110511667.0,Start,2.8,SOUTHERN EUROPE
164,Xhelal Koprëncka,Albania,1106794268.0,Stub,2.8,SOUTHERN EUROPE
165,Kryeziu family,Albania,1113466121.0,Start,2.8,SOUTHERN EUROPE
166,Artur Kuko,Albania,1112281132.0,Stub,2.8,SOUTHERN EUROPE
167,Xhavid Leskoviku,Albania,1080104315.0,Start,2.8,SOUTHERN EUROPE
168,Sabit Lulo,Albania,1071576324.0,Stub,2.8,SOUTHERN EUROPE
169,Gjon Markagjoni,Albania,1114419158.0,C,2.8,SOUTHERN EUROPE
170,Tefik Mborja,Albania,1112281218.0,Start,2.8,SOUTHERN EUROPE
171,Fatmir Mediu,Albania,1108640753.0,Stub,2.8,SOUTHERN EUROPE
172,Hysni Milloshi,Albania,1111101481.0,Start,2.8,SOUTHERN EUROPE
173,Musa Qazimi,Albania,1085455681.0,GA,2.8,SOUTHERN EUROPE
174,Mustafa Ndroqi,Albania,1091483288.0,Stub,2.8,SOUTHERN EUROPE
