,lastrevid,prediction
592,1106492750,B
593,1059919387,Start
594,1087353972,Stub
595,1108066856,Start
596,1115026757,Start
597,1068738297,Stub
598,1097570502,C
599,1038606051,C
600,1052088875,Stub
601,1102455717,Start
602,1098197979,Start
603,1090578062,C
604,1038607348,Start
605,1098196717,C
606,1112056773,Start
607,1110092316,Stub
608,1038609480,Start
609,1069141674,Stub
610,1067903741,C
611,1076061150,Start
612,1049654323,C
613,1085128926,Start
614,1113135652,Start
615,1094440759,C
616,1097883330,C
617,1085849741,Start
618,1112460308,C
619,1113198175,C
620,1106007965,Stub
621,1110874529,Stub
622,1066093324,Start
623,1107037359,Stub
624,1111837585,Stub
625,1068356533,Stub
626,1100820734,B
627,1112344051,C
628,1104814058,Start
629,1112109734,C
630,1045893159,Stub
631,1107693597,C
632,1113507548,Start
633,1112033318,Start
634,1067136662,Stub
635,1093749046,Start
636,1038585660,Start
637,1047850212,Stub
638,1038605974,Start
639,1046006361,Start
640,1111762930,C
641,1110292983,Start
642,1113735930,Start
643,1097963495,Start
644,1080633319,Stub
645,1090468579,Start
646,1086556181,Start
647,1090706976,Stub
648,1079840895,Stub
649,1106579042,Start
650,1079872008,Stub
651,996491794,Stub
652,1080792345,Stub
653,1096826466,Stub
654,1096731562,Stub
655,1090469580,Stub
656,1079886049,Stub
657,1079844213,Stub
658,1090593974,Stub
659,1079487466,Start
660,1080773405,Stub
661,1096216109,Stub
662,1083147482,Stub
663,1091354442,Start
664,1113474645,C
665,1080816111,Stub
666,1081912624,Stub
667,1078282094,Stub
668,1109983886,Start
669,1094141913,Stub
670,975080643,Stub
671,1070934154,Start
672,1092550681,Start
673,1108538378,Stub
674,1115164729,Start
675,1049964918,Stub
676,1114832548,Start
677,1094982832,C
678,1058221840,Stub
679,1105545058,Stub
680,1089370903,C
681,1095765737,Start
682,1082906416,Start
683,1059698953,C
684,1110591101,Start
685,1107370274,C
686,1059194181,Stub
687,1103967180,C
688,1112377212,Start
689,1073431420,C
690,1070648178,Start
691,1109961050,Stub
692,1114686271,C
693,1105481408,Stub
694,1091859585,Start
695,1108740902,GA
696,1100971465,Start
697,1064451133,C
698,1107954358,C
699,1092527212,Start
700,1115330170,Start
701,1105528576,C
702,1115451955,C
703,1113785358,C
704,1086196169,Stub
705,1110821628,C
706,1091719034,C
707,1074131733,Start
708,1063238122,Stub
709,1104528529,C
710,1088797136,Start
711,1094288301,Start
712,1076417124,Stub
713,998374140,Start
714,1044839682,Start
715,1105888595,Start
716,1059781125,Stub
717,1058540019,Stub
718,1058540061,Stub
719,1090780079,Start
720,1055146012,GA
721,1061093766,Start
722,1054979701,Start
723,995806187,Stub
724,1087869295,Stub
725,1077689317,Start
726,1074405063,Start
727,1059402951,Stub
728,1109379888,C
729,1054937431,Start
730,1100264816,Stub
731,1067685663,Stub
732,1048340504,Start
733,1114852816,Start
734,1112290249,Stub
735,1034055053,Stub
736,1058901086,Stub
737,1051591828,Start
738,1073661185,Start
739,1003320218,Stub
740,1080736243,Start
741,1058901497,Stub
742,1109576011,Stub
743,1036198503,Start
744,1058901725,Stub
745,1106195369,Start
746,1058815544,Stub
747,1104147247,Stub
748,1058898526,Stub
749,1058897535,Stub
750,1105018002,Stub
751,1094043509,Start
752,1092518027,Start
753,1089220103,Start
754,1089926878,Start
755,1034055187,Start
756,1102188001,Start
757,1087847916,Start
758,1030396425,Stub
759,1090105907,Stub
760,1085858301,Start
761,1103791996,C
762,1029822060,Stub
763,1105406687,Start
764,1067673529,Start
765,1044386557,Start
766,1099406349,Stub
767,1099978512,Stub
768,1073906467,Stub
769,994051445,Start
770,1107440236,Stub
771,1096587032,Start
772,1104711170,Start
773,1058900581,Stub
774,1099711000,Start
775,1101784212,C
776,919973607,Stub
777,1036465539,C
778,1106473958,C
779,1082795168,Start
780,1096094495,C
781,1083426767,Start
782,1085346521,Start
783,1067482687,Stub
784,1029448695,Stub
785,1061050724,C
786,1105462246,C
787,1103078061,Start
788,1093387515,C
789,1092475356,Stub
790,1065903499,Start
791,1090050440,Start
792,1086957528,Start
793,1084137581,Stub
794,1043722585,Start
795,1095045396,GA
796,1060085965,Stub
797,1074573786,Start
798,1068932528,Stub
799,986218104,Stub
800,1110797584,Start
801,967051066,Stub
802,1069232338,Start
803,1100668369,Start
804,986219619,Stub
805,1115406312,Start
806,1065108391,Start
807,935053684,Start
808,967051092,Stub
809,1101249209,Stub
810,1112477163,C
811,1099185991,Stub
812,1029727171,Stub
813,956623702,Start
814,1113475126,C
815,1099839823,Start
816,1115618373,Stub
817,1099839678,Start
818,1017464973,Stub
819,1088131266,Start
820,1023360934,Start
821,1111838853,Start
822,1062630670,Start
823,1068931844,Stub
824,1076705305,Stub
825,1077117615,Stub
826,1082071070,Start
827,1105642733,Stub
828,1098122862,Start
829,1013757910,Start
830,935053725,Start
831,1010522641,Stub
832,1109945331,Start
