,title,lastrevid
471,Heinrich Reschauer,1083947896.0
472,Horst Rosenkranz,1112603574.0
473,Emil Sax,1007521446.0
474,Karl Schmitzer,1089049732.0
475,Georg Ritter von Schönerer,1114549144.0
476,"Georg Adam, Prince of Starhemberg",1102889087.0
477,Gundaker Thomas Starhemberg,1078907075.0
478,Josef Staribacher,1049705609.0
479,Richard Steidle,1112576338.0
480,Julius Tandler,1077100690.0
481,"Leopold, Count von Thun und Hohenstein",1096753974.0
482,Muzio Tommasini,1093955134.0
483,Karl Freiherr von Vogelsang,1016446506.0
484,Max Winter (politician),1112474387.0
485,Anton von Winzor,1045934334.0
486,Gisela Wurm,1038160173.0
487,Alexander Zach,1056085498.0
488,Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,1111962495.0
489,Karl von Zinzendorf,1112603523.0
490,Muzamil Abdullayev,1107065506.0
491,Leyla Abdullayeva,1102138152.0
492,Elchin Afandiyev,1075526613.0
493,Fazail Agamali,1106843986.0
494,Fuad Alasgarov,1018398706.0
495,Anvar Alikhanov,1109309028.0
496,Tarlan Aliyarbayov,1112064160.0
497,Dilara Aliyeva,1109649588.0
498,Ali Asadov,1112134949.0
499,Akram Aylisli,1106344373.0
500,Sahil Babayev,1112800095.0
501,Huseyngulu Baghirov,1080007779.0
502,Alovsat Bakhshiyev,1090036474.0
503,Rafael Kamil Dzhabrailov,1100266382.0
504,Matin Eynullayev,1110146340.0
505,Vilayat Eyvazov,1109686454.0
506,Abdurrahman Fatalibeyli,1094730548.0
507,Fazail Ibrahimli,1096310851.0
508,Solomon Grobshtein,1067081975.0
509,Teymur Guliyev,1025325196.0
510,Mammad Gurbanov,1101536288.0
511,Asaf Hajiyev,1114198988.0
512,Farhad Hajiyev,1109686109.0
513,Jamil Hasanli,1091283791.0
514,Ali M. Hasanov,1104973679.0
515,Shakir Hasanov,1096145690.0
516,Zakir Hasanov,1110113628.0
517,Ali Huseynli,1090157253.0
518,Alisahib Huseynov,1080007304.0
519,Ali Ibrahimov,1067793317.0
520,Mammad Isgandarov,1029087103.0
521,Vidadi Isgandarov,1092547948.0
522,Ajdar Ismailov,1096490381.0
523,Saftar Jafarov,1045812028.0
524,Rovshan Javadov,1108873335.0
525,Anar Karimov,1109685880.0
526,Boris Kevorkov,1072772142.0
527,Gurban Khalilov,1094981152.0
528,Ahmad Kordary,1093750341.0
529,Ilham Madatov,1011331249.0
530,Musa Mammadov,1084134498.0
531,Ramin Mammadov,1115614823.0
532,Elshad Mirbashir oghlu,1084157904.0
533,Fuad Naghiyev,1081854289.0
534,Eldar Namazov,1087483504.0
535,Siyavush Novruzov,1114475460.0
536,Sadig Rahimov,1074822020.0
537,Suleyman Rahimov,1096039626.0
538,Huseyn Rahmanov,1106104383.0
539,Hasan Sayidov,1025325260.0
540,Parviz Shahbazov,1105103095.0
541,Mammad agha Shahtakhtinski,1080672703.0
542,Abid Sharifov,1096574448.0
543,Bakhtiyar Vahabzadeh,1114287934.0
544,Elmir Valiyev,1074732244.0
545,Nurali Yusifbayli,1019924574.0
546,Harold Christie,1083155826.0
547,Timothy Donaldson,1109457989.0
548,Joseph Robert Love,1084382477.0
549,Mohammed Isa Al Abbasi,1021088682.0
550,Abdullah bin Isa Al Khalifa,1011511102.0
551,Ahmed Behzad (Bahrain),1063482737.0
552,Kamal Ahmed (politician),1010461395.0
553,Mohamed Ali Hasan Ali,1006173162.0
554,Khalid Almoayed,1063486161.0
555,Aymen Tawfeeq Almoayed,1109935820.0
556,Nazar Al Baharna,1067620253.0
557,Mahmood Al Bahrani,1096789330.0
558,Ammar Al Bannai,1089564533.0
559,Jawad Fairooz,1088485834.0
560,Qasim Fakhro,1099067663.0
561,Faisal al-Hamar,1068897458.0
562,Nabeel bin Yaqub Al-Hamar,1096789114.0
563,Isa bin Abdulrahman Al Hammadi,1098344827.0
564,Jameel Humadan,1003695133.0
565,Isa bin Ibrahim Al Khalifa,1033132904.0
566,Fahmi al-Jowder,1068744646.0
567,Saud Kanoo,1098699647.0
568,Essam Khalaf,1006167519.0
569,Abdullah bin Hamad bin Isa Al Khalifa,1099004905.0
570,Ibrahim ibn Khalifa Al Khalifa,1107463771.0
571,Mai bint Mohammed Al Khalifa,1085733309.0
572,Khallfa bin Duaij Al Khalifa,1022106863.0
573,Hamad Al Kooheji,1096789043.0
574,Abdullatif Al-Mahmood,1072499529.0
575,Khalid Al Maskati,1096789192.0
576,Abdulhussain bin Ali Mirza,1106388662.0
577,Mohammed Al-Buainain,1063213013.0
578,Mohammed bin Khalifa bin Ahmed,1087144216.0
579,Mohammed bin Khalifa bin Ali Al Khalifa,1096789150.0
580,Abdulrahman al-Nuaimi,1066056398.0
581,Ammar Qambar,1086832849.0
582,Isa Qassim,1100527312.0
583,Ahmed Al-Salloum,1108146191.0
584,Salman bin Hamad Al Khalifa,1109869774.0
585,Oli Ahad,1076894174.0
586,Farid Ahmed,1066581020.0
587,Muzaffar Ahmed (NAP politician),1109740890.0
588,AKM Hafizuddin,1082571647.0
589,Mohammad Manjur Alam,1099697606.0
590,Aftab Ali,1111168357.0
591,M Hossain Ali,1081670946.0
592,Ashab Uddin Ahmad,1106492750.0
593,Selina Banu,1059919387.0
594,Nurul Huq Bhuiyan,1087353972.0
595,Bishnu Chattopadhyay,1108066856.0
596,AKM Fazlul Kabir Chowdhury,1115026757.0
597,Aminul Islam Chowdhury,1068738297.0
598,Anwarul Karim Chowdhury,1097570502.0
599,Moinuddin Ahmed Chowdhury,1038606051.0
600,Sarwar Jan Chowdhury,1052088875.0
601,Shahinur Pasha Chowdhury,1102455717.0
602,Yusuf Ali Chowdhury,1098197979.0
603,Haji Mohammad Danesh,1090578062.0
604,Pulin De,1038607348.0
605,James Leo Ferguson,1098196717.0
606,Abdul Halim Ghaznavi,1112056773.0
607,Debendra Nath Ghosh,1110092316.0
608,Ranesh Das Gupta,1038609480.0
609,AKM Fazlul Haque (Bangladeshi politician),1069141674.0
610,Abul Hashim,1067903741.0
611,Syed Najmuddin Hashim,1076061150.0
612,M. Anwar Hossain,1049654323.0
613,Nozir Hossain,1085128926.0
614,Syed Muhammad Ibrahim,1113135652.0
615,Abul Kashem,1094440759.0
616,Abul Kashem Khan,1097883330.0
617,Hatem Ali Khan,1085849741.0
618,Muhammad Hamidullah Khan,1112460308.0
619,Yar Mohammad Khan,1113198175.0
620,Jyotirindra Bodhipriya Larma,1106007965.0
621,Manik Lal Ray,1110874529.0
622,Mushrefa Mishu,1066093324.0
623,Fazlul Haque Montu,1107037359.0
624,Mujahidul Islam Selim,1111837585.0
625,SM Nuruzzaman,1068356533.0
626,Shamsul Huda Panchbagi,1100820734.0
627,Muhammad Bayazeed Khan Panni,1112344051.0
628,Ferdous Ahmed Qureshi,1104814058.0
629,Abdur Rahim (scholar),1112109734.0
630,Habibar Rahman,1045893159.0
631,M. M. Rahmatullah,1107693597.0
632,Golam Maula Rony,1113507548.0
633,Devasish Roy,1112033318.0
634,Maulana Shakhawat,1067136662.0
635,Zahidunnabi Dewan Shamim,1093749046.0
636,Abul Kalam Shamsuddin,1038585660.0
637,Badruddoza Ahmed Shuja,1047850212.0
638,Mohammad Sultan,1038605974.0
639,Mohammad Toaha,1046006361.0
640,Badruddin Umar,1111762930.0
641,Elliott Belgrave,1110292983.0
642,Chad Blackman,1113735930.0
643,Santia Bradshaw,1097963495.0
644,Sonia Browne,1080633319.0
645,Michael A. Carrington,1090468579.0
646,William Fondleroy Duguid,1086556181.0
647,Reginald Farley,1090706976.0
648,Adrian Forde,1079840895.0
649,Cynthia Y. Forde,1106579042.0
650,Ian Gooding-Edghill,1079872008.0
651,Damien K. A. Griffith,996491794.0
652,Crystal Haynes,1080792345.0
653,Hallam Henry (diplomat),1096826466.0
654,Philip St. Hill,1096731562.0
655,Arthur Holder,1090469580.0
656,Kirk Matthew Humphrey,1079886049.0
657,Davidson Ishmael,1079844213.0
658,Colin Everett Jordan,1090593974.0
659,John Andrew King,1079487466.0
660,Shantal Munro-Knight,1080773405.0
661,Glyne Murray,1096216109.0
662,Harry Scott Newlands,1083147482.0
663,Charles Duncan O'Neal,1091354442.0
664,Samuel Jackman Prescod,1113474645.0
665,Shanika Roberts-Odle,1080816111.0
666,Ryan Straughan,1081912624.0
667,Dwight Sutherland,1078282094.0
668,Kerrie Symmonds,1109983886.0
669,Yury Ambrazevich,1094141913.0
